id,gt,ans1,ans2,correct
ProntoQA_1,B,B,B,True
ProntoQA_10,B,B,B,True
ProntoQA_100,A,A,A,True
ProntoQA_101,B,A,A,False
ProntoQA_102,B,B,B,True
ProntoQA_103,B,B,B,True
ProntoQA_104,A,B,B,False
ProntoQA_105,B,B,B,True
ProntoQA_106,A,A,A,True
ProntoQA_107,A,A,A,True
ProntoQA_108,B,A,A,False
ProntoQA_109,B,A,A,False
ProntoQA_11,B,B,B,True
ProntoQA_110,B,C,C,False
ProntoQA_111,B,B,B,True
ProntoQA_112,B,A,A,False
ProntoQA_113,A,B,B,False
ProntoQA_114,A,C,C,False
ProntoQA_115,B,A,A,False
ProntoQA_116,B,B,B,True
ProntoQA_117,A,A,A,True
ProntoQA_118,B,B,B,True
ProntoQA_119,B,B,B,True
ProntoQA_12,A,A,A,True
ProntoQA_120,A,B,B,False
ProntoQA_121,A,B,B,False
ProntoQA_122,B,A,A,False
ProntoQA_123,A,A,A,True
ProntoQA_124,B,B,B,True
ProntoQA_125,A,A,A,True
ProntoQA_126,B,B,B,True
ProntoQA_127,B,A,A,False
ProntoQA_128,B,A,A,False
ProntoQA_129,A,A,A,True
ProntoQA_13,A,A,A,True
ProntoQA_130,A,A,A,True
ProntoQA_131,A,B,B,False
ProntoQA_132,A,B,B,False
ProntoQA_133,A,B,B,False
ProntoQA_134,A,B,B,False
ProntoQA_135,A,B,B,False
ProntoQA_136,B,B,B,True
ProntoQA_137,A,A,A,True
ProntoQA_138,B,B,B,True
ProntoQA_139,A,A,A,True
ProntoQA_14,B,A,A,False
ProntoQA_140,B,B,B,True
ProntoQA_141,B,B,B,True
ProntoQA_142,B,A,A,False
ProntoQA_143,B,B,B,True
ProntoQA_144,B,B,B,True
ProntoQA_145,A,A,A,True
ProntoQA_146,B,B,B,True
ProntoQA_147,A,B,B,False
ProntoQA_148,A,B,B,False
ProntoQA_149,A,A,A,True
ProntoQA_15,A,A,A,True
ProntoQA_150,A,B,B,False
ProntoQA_151,B,B,B,True
ProntoQA_152,A,B,B,False
ProntoQA_153,A,A,A,True
ProntoQA_154,A,A,A,True
ProntoQA_155,B,B,B,True
ProntoQA_156,A,A,A,True
ProntoQA_157,B,B,B,True
ProntoQA_158,B,B,B,True
ProntoQA_159,A,A,A,True
ProntoQA_16,B,B,B,True
ProntoQA_160,B,B,B,True
ProntoQA_161,A,A,A,True
ProntoQA_162,B,B,B,True
ProntoQA_163,A,B,B,False
ProntoQA_164,A,A,A,True
ProntoQA_165,A,A,A,True
ProntoQA_166,A,A,A,True
ProntoQA_167,A,A,A,True
ProntoQA_168,B,B,B,True
ProntoQA_169,B,B,B,True
ProntoQA_17,B,B,B,True
ProntoQA_170,B,B,B,True
ProntoQA_171,A,A,A,True
ProntoQA_172,B,C,C,False
ProntoQA_173,B,A,A,False
ProntoQA_174,B,B,B,True
ProntoQA_175,B,A,A,False
ProntoQA_176,A,B,B,False
ProntoQA_177,A,A,A,True
ProntoQA_178,B,A,A,False
ProntoQA_179,A,A,A,True
ProntoQA_18,B,A,A,False
ProntoQA_180,B,B,B,True
ProntoQA_181,B,B,B,True
ProntoQA_182,A,B,B,False
ProntoQA_183,B,B,B,True
ProntoQA_184,B,B,B,True
ProntoQA_185,B,B,B,True
ProntoQA_186,B,A,A,False
ProntoQA_187,A,A,A,True
ProntoQA_188,A,A,A,True
ProntoQA_189,B,A,A,False
ProntoQA_19,B,B,B,True
