id,gt,ans1,ans2,correct
ProntoQA_1,B,C,B,True
ProntoQA_10,B,A,B,False
ProntoQA_100,A,A,C,True
ProntoQA_101,B,C,B,True
ProntoQA_102,B,C,B,True
ProntoQA_103,B,A,B,False
ProntoQA_104,A,A,C,True
ProntoQA_105,B,C,B,True
ProntoQA_106,A,A,C,True
ProntoQA_107,A,A,C,True
ProntoQA_108,B,C,B,True
ProntoQA_109,B,C,B,True
ProntoQA_11,B,C,B,True
ProntoQA_110,B,A,C,False
ProntoQA_111,B,C,B,True
ProntoQA_112,B,A,B,False
ProntoQA_113,A,A,C,True
ProntoQA_114,A,A,B,False
ProntoQA_115,B,C,C,False
ProntoQA_116,B,C,B,True
ProntoQA_117,A,A,C,True
ProntoQA_118,B,C,B,True
ProntoQA_119,B,C,C,False
ProntoQA_12,A,C,C,False
ProntoQA_120,A,A,C,True
ProntoQA_121,A,C,C,False
ProntoQA_122,B,A,B,False
ProntoQA_123,A,A,C,True
ProntoQA_124,B,C,B,True
ProntoQA_125,A,A,C,True
ProntoQA_126,B,C,B,True
ProntoQA_127,B,A,C,False
ProntoQA_128,B,C,C,False
ProntoQA_129,A,C,C,False
ProntoQA_13,A,A,C,True
ProntoQA_130,A,A,C,True
ProntoQA_131,A,A,C,True
ProntoQA_132,A,A,C,True
ProntoQA_133,A,A,B,False
ProntoQA_134,A,A,C,True
ProntoQA_135,A,A,C,True
ProntoQA_136,B,C,B,True
ProntoQA_137,A,A,C,True
ProntoQA_138,B,C,B,True
ProntoQA_139,A,C,C,False
ProntoQA_14,B,A,C,False
ProntoQA_140,B,C,C,False
ProntoQA_141,B,A,C,False
ProntoQA_142,B,C,C,False
ProntoQA_143,B,C,B,True
ProntoQA_144,B,C,B,True
ProntoQA_145,A,C,C,False
ProntoQA_146,B,C,B,True
ProntoQA_147,A,A,C,True
ProntoQA_148,A,A,C,True
ProntoQA_149,A,A,C,True
ProntoQA_15,A,A,C,True
ProntoQA_150,A,A,C,True
ProntoQA_151,B,C,B,True
ProntoQA_152,A,A,C,True
ProntoQA_153,A,A,C,True
ProntoQA_154,A,A,B,False
ProntoQA_155,B,A,B,False
ProntoQA_156,A,A,C,True
ProntoQA_157,B,C,B,True
ProntoQA_158,B,C,C,False
ProntoQA_159,A,C,C,False
ProntoQA_16,B,C,B,True
ProntoQA_160,B,C,B,True
ProntoQA_161,A,C,C,False
ProntoQA_162,B,C,C,False
ProntoQA_163,A,A,B,False
ProntoQA_164,A,A,C,True
ProntoQA_165,A,A,C,True
ProntoQA_166,A,A,C,True
ProntoQA_167,A,A,B,False
ProntoQA_168,B,C,B,True
ProntoQA_169,B,C,C,False
ProntoQA_17,B,C,B,True
ProntoQA_170,B,C,B,True
ProntoQA_171,A,A,C,True
ProntoQA_172,B,C,B,True
ProntoQA_173,B,C,B,True
ProntoQA_174,B,C,C,False
ProntoQA_175,B,A,C,False
ProntoQA_176,A,A,C,True
ProntoQA_177,A,A,C,True
ProntoQA_178,B,A,B,False
ProntoQA_179,A,A,C,True
ProntoQA_18,B,C,B,True
ProntoQA_180,B,A,B,False
ProntoQA_181,B,C,B,True
ProntoQA_182,A,A,C,True
ProntoQA_183,B,C,B,True
ProntoQA_184,B,C,B,True
ProntoQA_185,B,C,B,True
ProntoQA_186,B,A,C,False
ProntoQA_187,A,A,C,True
ProntoQA_188,A,A,B,False
ProntoQA_189,B,A,C,False
ProntoQA_19,B,C,C,False
ProntoQA_190,B,C,B,True
ProntoQA_191,B,C,C,False
ProntoQA_192,B,C,B,True
ProntoQA_193,B,C,B,True
ProntoQA_194,B,A,B,False
ProntoQA_195,B,C,B,True
ProntoQA_196,B,C,B,True
ProntoQA_197,B,C,C,False
ProntoQA_198,B,A,C,False
ProntoQA_199,B,A,C,False
ProntoQA_2,A,A,C,True
ProntoQA_20,B,C,C,False
ProntoQA_200,A,A,C,True
ProntoQA_201,B,A,B,False
ProntoQA_202,B,A,C,False
ProntoQA_203,A,A,C,True
ProntoQA_204,B,A,B,False
ProntoQA_205,B,C,B,True
ProntoQA_206,A,A,C,True
ProntoQA_207,B,A,C,False
ProntoQA_208,B,C,B,True
ProntoQA_209,A,C,C,False
ProntoQA_21,A,C,C,False
ProntoQA_210,B,C,B,True
ProntoQA_211,A,A,C,True
ProntoQA_212,A,A,C,True
ProntoQA_213,A,A,C,True
