id,gt,ans1,ans2,correct
ProntoQA_1,B,B,B,True
ProntoQA_10,B,A,A,False
ProntoQA_100,A,A,A,True
ProntoQA_101,B,A,A,False
ProntoQA_102,B,B,B,True
ProntoQA_103,B,A,A,False
ProntoQA_104,A,A,A,True
ProntoQA_105,B,A,A,False
ProntoQA_106,A,A,A,True
ProntoQA_107,A,B,B,False
ProntoQA_108,B,B,B,True
ProntoQA_109,B,A,A,False
ProntoQA_11,B,B,B,True
ProntoQA_110,B,A,A,False
ProntoQA_111,B,A,A,False
ProntoQA_112,B,A,A,False
ProntoQA_113,A,B,B,False
ProntoQA_114,A,A,A,True
ProntoQA_115,B,A,A,False
ProntoQA_116,B,B,B,True
ProntoQA_117,A,A,A,True
ProntoQA_118,B,B,B,True
ProntoQA_119,B,B,B,True
ProntoQA_12,A,A,A,True
ProntoQA_120,A,B,B,False
ProntoQA_121,A,B,B,False
ProntoQA_122,B,A,A,False
ProntoQA_123,A,A,A,True
ProntoQA_124,B,A,A,False
ProntoQA_125,A,A,A,True
ProntoQA_126,B,B,B,True
ProntoQA_127,B,B,B,True
ProntoQA_128,B,A,A,False
ProntoQA_129,A,B,B,False
ProntoQA_13,A,A,A,True
ProntoQA_130,A,A,A,True
ProntoQA_131,A,A,A,True
ProntoQA_132,A,B,B,False
ProntoQA_133,A,A,A,True
ProntoQA_134,A,A,A,True
ProntoQA_135,A,A,A,True
ProntoQA_136,B,A,A,False
ProntoQA_137,A,B,B,False
ProntoQA_138,B,B,B,True
ProntoQA_139,A,B,B,False
ProntoQA_14,B,A,A,False
ProntoQA_140,B,A,A,False
ProntoQA_141,B,A,A,False
ProntoQA_142,B,B,B,True
ProntoQA_143,B,B,B,True
ProntoQA_144,B,A,A,False
ProntoQA_145,A,A,A,True
ProntoQA_146,B,B,B,True
ProntoQA_147,A,A,A,True
ProntoQA_148,A,B,B,False
ProntoQA_149,A,A,A,True
ProntoQA_15,A,B,B,False
ProntoQA_150,A,B,B,False
ProntoQA_151,B,B,B,True
ProntoQA_152,A,A,A,True
ProntoQA_153,A,A,A,True
ProntoQA_154,A,B,B,False
ProntoQA_155,B,B,B,True
ProntoQA_156,A,A,A,True
ProntoQA_157,B,B,B,True
ProntoQA_158,B,B,B,True
ProntoQA_159,A,B,B,False
ProntoQA_16,B,B,B,True
ProntoQA_160,B,B,B,True
ProntoQA_161,A,B,B,False
ProntoQA_162,B,B,B,True
ProntoQA_163,A,A,A,True
ProntoQA_164,A,B,B,False
ProntoQA_165,A,A,A,True
ProntoQA_166,A,A,A,True
ProntoQA_167,A,B,B,False
ProntoQA_168,B,A,A,False
ProntoQA_169,B,A,A,False
ProntoQA_17,B,B,B,True
ProntoQA_170,B,B,B,True
ProntoQA_171,A,B,B,False
ProntoQA_172,B,A,A,False
ProntoQA_173,B,A,A,False
ProntoQA_174,B,A,A,False
ProntoQA_175,B,B,B,True
ProntoQA_176,A,B,B,False
ProntoQA_177,A,B,B,False
ProntoQA_178,B,A,A,False
ProntoQA_179,A,A,A,True
ProntoQA_18,B,A,A,False
ProntoQA_180,B,A,A,False
ProntoQA_181,B,B,B,True
ProntoQA_182,A,A,A,True
ProntoQA_183,B,B,B,True
ProntoQA_184,B,B,B,True
ProntoQA_185,B,B,B,True
ProntoQA_186,B,A,A,False
ProntoQA_187,A,A,A,True
ProntoQA_188,A,A,A,True
ProntoQA_189,B,A,A,False
ProntoQA_19,B,B,B,True
ProntoQA_190,B,A,A,False
ProntoQA_191,B,B,B,True
ProntoQA_192,B,A,A,False
ProntoQA_193,B,B,B,True
