id,gt,ans1,ans2,correct
ProntoQA_1,B,C,B,True
ProntoQA_10,B,C,B,True
ProntoQA_100,A,C,C,False
ProntoQA_101,B,C,B,True
ProntoQA_102,B,C,B,True
ProntoQA_103,B,C,B,True
ProntoQA_104,A,A,B,False
ProntoQA_105,B,C,B,True
ProntoQA_106,A,A,C,True
ProntoQA_107,A,A,C,True
ProntoQA_108,B,C,B,True
ProntoQA_109,B,C,C,False
ProntoQA_11,B,C,B,True
ProntoQA_110,B,A,C,False
ProntoQA_111,B,C,B,True
ProntoQA_112,B,A,B,False
ProntoQA_113,A,A,C,True
ProntoQA_114,A,A,C,True
ProntoQA_115,B,C,B,True
ProntoQA_116,B,C,B,True
ProntoQA_117,A,A,C,True
ProntoQA_118,B,C,B,True
ProntoQA_119,B,C,B,True
ProntoQA_12,A,A,C,True
ProntoQA_120,A,A,C,True
ProntoQA_121,A,A,C,True
ProntoQA_122,B,C,B,True
ProntoQA_123,A,A,C,True
ProntoQA_124,B,C,B,True
ProntoQA_125,A,A,C,True
ProntoQA_126,B,C,B,True
ProntoQA_127,B,C,B,True
ProntoQA_128,B,C,B,True
ProntoQA_129,A,A,C,True
ProntoQA_13,A,A,C,True
ProntoQA_130,A,C,C,False
ProntoQA_131,A,A,C,True
ProntoQA_132,A,C,C,False
ProntoQA_133,A,A,C,True
ProntoQA_134,A,A,C,True
ProntoQA_135,A,A,C,True
ProntoQA_136,B,C,B,True
ProntoQA_137,A,A,C,True
ProntoQA_138,B,C,B,True
ProntoQA_139,A,A,C,True
ProntoQA_14,B,C,B,True
ProntoQA_140,B,C,B,True
ProntoQA_141,B,A,B,False
ProntoQA_142,B,A,C,False
ProntoQA_143,B,C,B,True
ProntoQA_144,B,C,B,True
ProntoQA_145,A,A,C,True
ProntoQA_146,B,C,B,True
ProntoQA_147,A,C,C,False
ProntoQA_148,A,A,C,True
ProntoQA_149,A,A,C,True
ProntoQA_15,A,A,C,True
ProntoQA_150,A,A,C,True
ProntoQA_151,B,C,B,True
ProntoQA_152,A,A,C,True
ProntoQA_153,A,A,C,True
ProntoQA_154,A,A,C,True
ProntoQA_155,B,C,B,True
ProntoQA_156,A,A,C,True
ProntoQA_157,B,C,B,True
ProntoQA_158,B,C,B,True
ProntoQA_159,A,A,C,True
ProntoQA_16,B,C,B,True
ProntoQA_160,B,C,B,True
ProntoQA_161,A,A,C,True
ProntoQA_162,B,C,B,True
ProntoQA_163,A,A,B,False
ProntoQA_164,A,A,C,True
ProntoQA_165,A,A,C,True
ProntoQA_166,A,C,C,False
ProntoQA_167,A,A,C,True
ProntoQA_168,B,C,C,False
ProntoQA_169,B,C,B,True
ProntoQA_17,B,C,B,True
ProntoQA_170,B,C,B,True
ProntoQA_171,A,A,C,True
ProntoQA_172,B,C,B,True
ProntoQA_173,B,C,B,True
ProntoQA_174,B,C,B,True
ProntoQA_175,B,C,B,True
ProntoQA_176,A,A,C,True
ProntoQA_177,A,A,C,True
ProntoQA_178,B,C,C,False
ProntoQA_179,A,C,C,False
ProntoQA_18,B,C,B,True
ProntoQA_180,B,C,B,True
ProntoQA_181,B,C,B,True
ProntoQA_182,A,A,C,True
ProntoQA_183,B,C,B,True
ProntoQA_184,B,C,B,True
ProntoQA_185,B,C,B,True
