id,gt,ans1,ans2,correct
ProntoQA_1,B,C,C,False
ProntoQA_10,B,C,C,False
ProntoQA_100,A,C,C,False
ProntoQA_101,B,C,C,False
ProntoQA_102,B,C,C,False
ProntoQA_103,B,C,C,False
ProntoQA_104,A,C,C,False
ProntoQA_105,B,C,C,False
ProntoQA_106,A,C,C,False
ProntoQA_107,A,C,C,False
ProntoQA_108,B,C,C,False
ProntoQA_109,B,C,C,False
ProntoQA_11,B,C,B,True
ProntoQA_110,B,C,C,False
ProntoQA_111,B,C,C,False
ProntoQA_112,B,C,B,True
ProntoQA_113,A,C,C,False
ProntoQA_114,A,C,C,False
ProntoQA_115,B,C,B,True
ProntoQA_116,B,C,C,False
ProntoQA_117,A,C,C,False
ProntoQA_118,B,C,C,False
ProntoQA_119,B,C,C,False
ProntoQA_12,A,C,C,False
ProntoQA_120,A,C,C,False
ProntoQA_121,A,C,C,False
ProntoQA_122,B,C,C,False
ProntoQA_123,A,A,C,True
ProntoQA_124,B,C,C,False
ProntoQA_125,A,C,C,False
ProntoQA_126,B,C,C,False
ProntoQA_127,B,C,C,False
ProntoQA_128,B,C,C,False
ProntoQA_129,A,A,C,True
ProntoQA_13,A,A,C,True
ProntoQA_130,A,C,C,False
ProntoQA_131,A,C,C,False
ProntoQA_132,A,A,C,True
ProntoQA_133,A,C,C,False
ProntoQA_134,A,C,C,False
ProntoQA_135,A,C,C,False
ProntoQA_136,B,C,C,False
ProntoQA_137,A,C,C,False
ProntoQA_138,B,C,C,False
ProntoQA_139,A,C,C,False
ProntoQA_14,B,C,C,False
ProntoQA_140,B,C,C,False
ProntoQA_141,B,C,C,False
ProntoQA_142,B,C,C,False
ProntoQA_143,B,C,C,False
ProntoQA_144,B,C,C,False
ProntoQA_145,A,C,C,False
ProntoQA_146,B,C,C,False
ProntoQA_147,A,C,C,False
ProntoQA_148,A,C,C,False
ProntoQA_149,A,C,C,False
ProntoQA_15,A,C,C,False
ProntoQA_150,A,C,C,False
ProntoQA_151,B,C,C,False
ProntoQA_152,A,C,C,False
ProntoQA_153,A,C,C,False
ProntoQA_154,A,C,C,False
ProntoQA_155,B,C,B,True
ProntoQA_156,A,C,C,False
ProntoQA_157,B,C,C,False
ProntoQA_158,B,C,B,True
ProntoQA_159,A,C,C,False
ProntoQA_16,B,C,C,False
ProntoQA_160,B,C,C,False
ProntoQA_161,A,A,C,True
ProntoQA_162,B,C,C,False
ProntoQA_163,A,C,C,False
ProntoQA_164,A,C,C,False
ProntoQA_165,A,C,C,False
ProntoQA_166,A,C,C,False
ProntoQA_167,A,C,C,False
ProntoQA_168,B,C,C,False
ProntoQA_169,B,C,C,False
ProntoQA_17,B,C,C,False
ProntoQA_170,B,C,C,False
ProntoQA_171,A,C,C,False
ProntoQA_172,B,C,C,False
ProntoQA_173,B,C,C,False
ProntoQA_174,B,C,C,False
ProntoQA_175,B,C,C,False
ProntoQA_176,A,C,C,False
ProntoQA_177,A,C,C,False
ProntoQA_178,B,C,C,False
ProntoQA_179,A,C,C,False
ProntoQA_18,B,C,C,False
ProntoQA_180,B,C,C,False
ProntoQA_181,B,C,C,False
ProntoQA_182,A,C,C,False
ProntoQA_183,B,C,C,False
ProntoQA_184,B,C,C,False
ProntoQA_185,B,C,C,False
ProntoQA_186,B,C,B,True
ProntoQA_187,A,C,C,False
ProntoQA_188,A,C,C,False
ProntoQA_189,B,C,C,False
ProntoQA_19,B,C,B,True
ProntoQA_190,B,C,C,False
ProntoQA_191,B,C,B,True
ProntoQA_192,B,C,B,True
ProntoQA_193,B,C,C,False
ProntoQA_194,B,C,C,False
ProntoQA_195,B,C,C,False
ProntoQA_196,B,C,C,False
ProntoQA_197,B,C,C,False
ProntoQA_198,B,C,C,False
ProntoQA_199,B,C,C,False
ProntoQA_2,A,C,C,False
ProntoQA_20,B,C,C,False
ProntoQA_200,A,C,C,False
ProntoQA_201,B,C,C,False
ProntoQA_202,B,C,C,False
ProntoQA_203,A,C,C,False
ProntoQA_204,B,C,C,False
ProntoQA_205,B,C,C,False
ProntoQA_206,A,C,C,False
ProntoQA_207,B,C,C,False
ProntoQA_208,B,C,B,True
ProntoQA_209,A,A,C,True
ProntoQA_21,A,C,C,False
ProntoQA_210,B,C,C,False
ProntoQA_211,A,A,C,True
ProntoQA_212,A,C,C,False
ProntoQA_213,A,C,C,False
ProntoQA_214,A,C,C,False
ProntoQA_215,B,C,B,True
