id,gt,ans1,ans2,correct
ProntoQA_1,B,B,B,True
ProntoQA_10,B,B,B,True
ProntoQA_100,A,B,B,False
ProntoQA_101,B,A,A,False
ProntoQA_102,B,A,A,False
ProntoQA_103,B,B,B,True
ProntoQA_104,A,B,B,False
ProntoQA_105,B,A,A,False
ProntoQA_106,A,A,A,True
ProntoQA_107,A,A,A,True
ProntoQA_108,B,A,A,False
ProntoQA_109,B,B,B,True
ProntoQA_11,B,A,A,False
ProntoQA_110,B,A,A,False
ProntoQA_111,B,B,B,True
ProntoQA_112,B,A,A,False
ProntoQA_113,A,A,A,True
ProntoQA_114,A,B,B,False
ProntoQA_115,B,B,B,True
ProntoQA_116,B,A,A,False
ProntoQA_117,A,A,A,True
ProntoQA_118,B,A,A,False
ProntoQA_119,B,B,B,True
ProntoQA_12,A,A,A,True
ProntoQA_120,A,A,A,True
ProntoQA_121,A,A,A,True
ProntoQA_122,B,B,B,True
ProntoQA_123,A,A,A,True
ProntoQA_124,B,A,A,False
ProntoQA_125,A,A,A,True
ProntoQA_126,B,A,A,False
ProntoQA_127,B,B,B,True
ProntoQA_128,B,B,B,True
ProntoQA_129,A,A,A,True
ProntoQA_13,A,A,A,True
ProntoQA_130,A,A,A,True
ProntoQA_131,A,B,B,False
ProntoQA_132,A,A,A,True
ProntoQA_133,A,A,A,True
ProntoQA_134,A,B,B,False
ProntoQA_135,A,A,A,True
ProntoQA_136,B,A,A,False
ProntoQA_137,A,A,A,True
ProntoQA_138,B,B,B,True
ProntoQA_139,A,A,A,True
ProntoQA_14,B,A,A,False
ProntoQA_140,B,B,B,True
ProntoQA_141,B,B,B,True
ProntoQA_142,B,B,B,True
ProntoQA_143,B,B,B,True
ProntoQA_144,B,A,A,False
ProntoQA_145,A,B,B,False
ProntoQA_146,B,A,A,False
ProntoQA_147,A,A,A,True
ProntoQA_148,A,A,A,True
ProntoQA_149,A,B,B,False
ProntoQA_15,A,A,A,True
ProntoQA_150,A,A,A,True
ProntoQA_151,B,B,B,True
ProntoQA_152,A,B,B,False
ProntoQA_153,A,A,A,True
ProntoQA_154,A,A,A,True
ProntoQA_155,B,A,A,False
ProntoQA_156,A,A,A,True
ProntoQA_157,B,A,A,False
ProntoQA_158,B,A,A,False
ProntoQA_159,A,A,A,True
ProntoQA_16,B,B,B,True
ProntoQA_160,B,B,B,True
ProntoQA_161,A,A,A,True
ProntoQA_162,B,B,B,True
ProntoQA_163,A,B,B,False
ProntoQA_164,A,A,A,True
ProntoQA_165,A,A,A,True
ProntoQA_166,A,A,A,True
ProntoQA_167,A,A,A,True
ProntoQA_168,B,B,B,True
ProntoQA_169,B,B,B,True
ProntoQA_17,B,A,A,False
ProntoQA_170,B,A,A,False
ProntoQA_171,A,A,A,True
ProntoQA_172,B,A,A,False
ProntoQA_173,B,A,A,False
ProntoQA_174,B,B,B,True
ProntoQA_175,B,B,B,True
ProntoQA_176,A,A,A,True
ProntoQA_177,A,B,B,False
ProntoQA_178,B,B,B,True
ProntoQA_179,A,A,A,True
ProntoQA_18,B,B,B,True
ProntoQA_180,B,A,A,False
ProntoQA_181,B,A,A,False
ProntoQA_182,A,B,B,False
ProntoQA_183,B,B,B,True
ProntoQA_184,B,A,A,False
ProntoQA_185,B,A,A,False
ProntoQA_186,B,B,B,True
ProntoQA_187,A,B,B,False
ProntoQA_188,A,A,A,True
ProntoQA_189,B,B,B,True
ProntoQA_19,B,A,A,False
