id,gt,ans1,ans2,correct
ProntoQA_1,B,B,B,True
ProntoQA_10,B,B,B,True
ProntoQA_100,A,A,A,True
ProntoQA_101,B,B,B,True
ProntoQA_102,B,B,B,True
ProntoQA_103,B,A,A,False
ProntoQA_104,A,A,A,True
ProntoQA_105,B,B,B,True
ProntoQA_106,A,A,A,True
ProntoQA_107,A,B,B,False
ProntoQA_108,B,B,B,True
ProntoQA_109,B,A,A,False
ProntoQA_11,B,B,B,True
ProntoQA_110,B,A,A,False
ProntoQA_111,B,B,B,True
ProntoQA_112,B,A,A,False
ProntoQA_113,A,A,A,True
ProntoQA_114,A,B,B,False
ProntoQA_115,B,A,A,False
ProntoQA_116,B,B,B,True
ProntoQA_117,A,A,A,True
ProntoQA_118,B,B,B,True
ProntoQA_119,B,A,A,False
ProntoQA_12,A,A,A,True
ProntoQA_120,A,B,B,False
ProntoQA_121,A,B,B,False
ProntoQA_122,B,B,B,True
ProntoQA_123,A,A,A,True
ProntoQA_124,B,A,A,False
ProntoQA_125,A,A,A,True
ProntoQA_126,B,A,A,False
ProntoQA_127,B,B,B,True
ProntoQA_128,B,B,B,True
ProntoQA_129,A,B,B,False
ProntoQA_13,A,B,B,False
ProntoQA_130,A,A,A,True
ProntoQA_131,A,A,A,True
ProntoQA_132,A,B,B,False
ProntoQA_133,A,A,A,True
ProntoQA_134,A,A,A,True
ProntoQA_135,A,B,B,False
ProntoQA_136,B,A,A,False
ProntoQA_137,A,B,B,False
ProntoQA_138,B,A,A,False
ProntoQA_139,A,B,B,False
ProntoQA_14,B,A,A,False
ProntoQA_140,B,B,B,True
ProntoQA_141,B,A,A,False
ProntoQA_142,B,A,A,False
ProntoQA_143,B,A,A,False
ProntoQA_144,B,B,B,True
ProntoQA_145,A,B,B,False
ProntoQA_146,B,B,B,True
ProntoQA_147,A,A,A,True
ProntoQA_148,A,B,B,False
ProntoQA_149,A,C,C,False
ProntoQA_15,A,A,A,True
ProntoQA_150,A,B,B,False
ProntoQA_151,B,B,B,True
ProntoQA_152,A,A,A,True
ProntoQA_153,A,A,A,True
ProntoQA_154,A,B,B,False
ProntoQA_155,B,B,B,True
ProntoQA_156,A,B,B,False
ProntoQA_157,B,B,B,True
ProntoQA_158,B,B,B,True
ProntoQA_159,A,B,B,False
ProntoQA_16,B,A,A,False
ProntoQA_160,B,B,B,True
ProntoQA_161,A,A,A,True
ProntoQA_162,B,A,A,False
ProntoQA_163,A,A,A,True
ProntoQA_164,A,A,A,True
ProntoQA_165,A,B,B,False
ProntoQA_166,A,B,B,False
ProntoQA_167,A,A,A,True
ProntoQA_168,B,A,A,False
ProntoQA_169,B,B,B,True
ProntoQA_17,B,B,B,True
ProntoQA_170,B,B,B,True
ProntoQA_171,A,A,A,True
ProntoQA_172,B,B,B,True
ProntoQA_173,B,A,A,False
ProntoQA_174,B,B,B,True
ProntoQA_175,B,A,A,False
ProntoQA_176,A,B,B,False
ProntoQA_177,A,A,A,True
ProntoQA_178,B,B,B,True
ProntoQA_179,A,A,A,True
ProntoQA_18,B,A,A,False
ProntoQA_180,B,B,B,True
ProntoQA_181,B,A,A,False
ProntoQA_182,A,A,A,True
ProntoQA_183,B,B,B,True
ProntoQA_184,B,A,A,False
ProntoQA_185,B,B,B,True
ProntoQA_186,B,A,A,False
ProntoQA_187,A,A,A,True
ProntoQA_188,A,A,A,True
ProntoQA_189,B,A,A,False
ProntoQA_19,B,B,B,True
